Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale
Dainese et al. (2017),p48,sub1480,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1004213,26,250_m_R
Dainese et al. (2017),p48,sub1481,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1621149,26,500_m_R
Dainese et al. (2017),p48,sub1482,Italy,"Venetian–Friulian Plain (north-eastern Italy: 46°09045°160 N, 11°45013°220 E)",Temperate,Wheat,Invertebrates,Pests,Hemiptera, Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2154971,26,1000_m_R
Janković et al. (2017),p56,sub1629,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.06357747,26,100_m_R
Janković et al. (2017),p56,sub1630,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.3333308,26,100_m_R
Janković et al. (2017),p56,sub1631,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1808313,26,100_m_R
Janković et al. (2017),p56,sub1632,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Grain aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.03720611,26,100_m_R
Janković et al. (2017),p56,sub1633,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Yellow clover aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.08707626,26,100_m_R
Janković et al. (2017),p56,sub1634,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1352737,26,250_m_R
Janković et al. (2017),p56,sub1635,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.101925,26,250_m_R
Janković et al. (2017),p56,sub1636,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.156778,26,250_m_R
Janković et al. (2017),p56,sub1637,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Grain aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1442206,26,250_m_R
Janković et al. (2017),p56,sub1638,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Yellow clover aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.03320793,26,250_m_R
Janković et al. (2017),p56,sub1639,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Pea aphid ,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.009188292,26,500_m_R
Janković et al. (2017),p56,sub1640,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Cowpea aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2876855,26,500_m_R
Janković et al. (2017),p56,sub1641,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Rose-grass aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.009568338,26,500_m_R
Janković et al. (2017),p56,sub1642,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Grain aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1809839,26,500_m_R
Janković et al. (2017),p56,sub1643,Serbia,Central Serbia,Temperate,"Wheat, alfalfa",Invertebrates,Pests,Hemiptera,Yellow clover aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2534197,26,500_m_R
Thies et al. (2005),p62,sub1833,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1230359,39,100_m_R
Thies et al. (2005),p62,sub1834,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.02749467,39,250_m_R
Thies et al. (2005),p62,sub1835,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.08447424,39,500_m_R
Thies et al. (2005),p62,sub1836,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2210393,39,1000_m_R
Thies et al. (2005),p62,sub1837,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.009566047,39,2000_m_R
Thies et al. (2005),p62,sub1838,Germany,"Lower Saxony, North Germany",Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1037314,39,3000_m_R
Sutter et al. (2018),p63,sub1879,Switzerland,Zurich,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2207072,72,100_m_R
Sutter et al. (2018),p63,sub1880,Switzerland,Zurich,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1057515,72,250_m_R
Sutter et al. (2018),p63,sub1881,Switzerland,Zurich,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.07058428,72,500_m_R
Sutter et al. (2018),p63,sub1882,Switzerland,Zurich,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1321312,72,1000_m_R
Tschumi et al. (2015),p65,sub1931,Switzerland,Central Swiss plateau (cantons Zurich and Aargau),Temperate,Wheat,Invertebrates,Pests,Coleoptera,Cereal leaf beetle (Oulema.melanopus),Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1157241,50,100_m_R
Tschumi et al. (2015),p65,sub1932,Switzerland,Central Swiss plateau (cantons Zurich and Aargau),Temperate,Wheat,Invertebrates,Pests,Coleoptera,Cereal leaf beetle (Oulema.melanopus),Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.0882716,50,250_m_R
Tschumi et al. (2015),p65,sub1933,Switzerland,Central Swiss plateau (cantons Zurich and Aargau),Temperate,Wheat,Invertebrates,Pests,Coleoptera,Cereal leaf beetle (Oulema.melanopus),Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.08177803,50,500_m_R
Tschumi et al. (2015),p65,sub1934,Switzerland,Central Swiss plateau (cantons Zurich and Aargau),Temperate,Wheat,Invertebrates,Pests,Coleoptera,Cereal leaf beetle (Oulema.melanopus),Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.05146518,50,1000_m_R
Schneider et al. (2015),p68,sub1974,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1311019,36,100_m_R
Schneider et al. (2015),p68,sub1975,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.03160445,36,250_m_R
Schneider et al. (2015),p68,sub1976,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.06849382,36,500_m_R
Schneider et al. (2015),p68,sub1977,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.0468066,36,1000_m_R
Schneider et al. (2015),p68,sub1978,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.07390374,35,2000_m_R
Schneider et al. (2015),p68,sub1979,Germany,"Würzburg, Bavaria",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.09578028,35,3000_m_R
Gladbach et al. (2011),p69,sub1980,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.02043023,8,100_m_R
Gladbach et al. (2011),p69,sub1981,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.06880985,8,250_m_R
Gladbach et al. (2011),p69,sub1982,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1673756,8,500_m_R
Gladbach et al. (2011),p69,sub1983,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.2163551,8,1000_m_R
Gladbach et al. (2011),p69,sub1984,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2127269,8,2000_m_R
Gladbach et al. (2011),p69,sub1985,Germany,"Go¨ttingen, Lower Saxony, Germany (51320 N, 9560 E)",Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1950457,8,3000_m_R
"Ruscha et al. (2011, 2013)",p70,sub1986,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.2970803,42,100_m_R
"Ruscha et al. (2011, 2013)",p70,sub1987,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1008793,42,250_m_R
"Ruscha et al. (2011, 2013)",p70,sub1988,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.1049023,42,500_m_R
"Ruscha et al. (2011, 2013)",p70,sub1989,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.00790567,42,1000_m_R
"Ruscha et al. (2011, 2013)",p70,sub1990,France,Normandy,Temperate,Oilseed rape,Invertebrates,Pests,Coleoptera,Pollen beetle,Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.1228508,42,2000_m_R
Martínez-Núñez et al. (2020),p76,sub2088,Spain,Andalusia,Temperate,Olive groves,Invertebrates,Pests,Lepidoptera,Pest(Prays oleae),Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,0.38393411,40,1000_m_R
Martínez-Núñez et al. (2020),p76,sub2089,Spain,Andalusia,Temperate,Olive groves,Invertebrates,Pests,Diptera,Pest(Bactrocera oleae),Abundance,ED,Edge Density,Landscape_Configurational_het,Configurational_het,Landscape_het,-0.261124137,40,1000_m_R
Holland and Fahrig (2000),p115,sub2163,Canada,Ottawa,Temperate,Alfalfa,Invertebrates,Pests,Coleoptera,Weevils,Abundance,FBL,Field boundary length,Landscape_Configurational_het,Configurational_het,Landscape_het,0.108166538,59,1000m
Holland and Fahrig(2000),p115,sub2164,Canada,Ottawa,Temperate,Alfalfa,Invertebrates,Pests,Coleoptera,Weevils,Richness,FBL,Field boundary length,Landscape_Configurational_het,Configurational_het,Landscape_het,0.056568542,59,1000m
Holland and Fahrig (2000),p115,sub2165,Canada,Ottawa,Temperate,Alfalfa,Invertebrates,Pests,Coleoptera,Weevils,Abundance,FBL,Field boundary length,Landscape_Configurational_het,Configurational_het,Landscape_het,0.005477226,59,1000m
Baillod et al. (2017),p3,sub2187,Germany,Goettingen,Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,-0.1042405,153,500_m_R
Monck-Whipp et al. (2018),p6,sub2206,Canada,Eastern Ontario,Temperate,Multiple,Invertebrates,Pests,Lepidoptera,Lepidoptera,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,0.01234442,46,3 X 3 Km
Redlich et al. (2021),p8,sub2221,Germany,"Würzburg(49°47′N, 9°57′E)",Temperate,Multiple,Invertebrates,Pests,Hemiptera,Aphid (Sitobion avenae),Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,-0.05976696,108,1000_m_R
Redlich et al. (2021),p8,sub2222,Germany,"Würzburg(49°47′N, 9°57′E)",Temperate,Multiple,Invertebrates,Pests,Hemiptera,Aphid (Metopolophium dirhodum),Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,-0.05134951,108,1000_m_R
Redlich et al. (2021),p8,sub2223,Germany,"Würzburg(49°47′N, 9°57′E)",Temperate,Multiple,Invertebrates,Pests,Coleoptera,Cereal leaf beetle,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,0.00750725,108,1000_m_R
Fischer et al. (2018),p27,sub2456,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Mice,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,0.07494544,54,500_m_R
Fischer et al. (2018),p27,sub2457,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Voles,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,-0.002725856,54,500_m_R
Fischer et al. (2018),p27,sub2458,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Mice,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,-0.1210915,54,500_m_R
Fischer et al. (2018),p27,sub2459,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Voles,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,0.09931476,54,500_m_R
Priyadarshana et al. (2023),p93,sub2460,China,"Nanning, the capital of Guangxi Zhuang Autonomous Region (22◦56′–22◦95′N, 108◦13′–108◦62′E)",Tropical,"Multiple (rice, sugarcane, corn are dominant)",Invertebrates,Pests,Lepidoptera,Butterflies,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,-0.4935496,156,100_m_R
Chabert & Sarthou (2017),p96,sub2475,France,"Toulouse (from 43°N, 0°E to 44°N, 2°E)",Temperate,"Multiple (cereals, sunflower, grasslands)",Invertebrates,Pests,Hemiptera,Aphid,Abundance,SHDI,Shannon’s Diversity Index,Crop_compositional_het,Compositional_het,Crop_het,0.20337,52,1500_m_R
Olimpi et al. (2020),p107,sub2479,USA,Central Coast of California,Temperate,Strawberry,Invertebrates,Pests,Hemiptera,"Insects (Pests included Lygus Hes- perus and other Lygus spp., aphids (Hemiptera: Aphidae), spotted cucumber beetle (Diabrotica undecimpunctata), whiteflies (Hemiptera: Aleyrodidae), spotted-wing droso- phila (Drosophila suzukii))",Abundance,Simpson diversity index ,SIDI,Crop_compositional_het,Compositional_het,Crop_het,0.3993911,15,500m
Baillod et al. (2017),p3,sub2493,Germany,Goettingen,Temperate,Wheat,Invertebrates,Pests,Hemiptera,Aphid,Abundance,Field boundary length,FBL,Crop_Configurational_het,Configurational_het,Crop_het,-0.03287132,153,500_m_R
Monck-Whipp et al. (2018),p6,sub2512,Canada,Eastern Ontario,Temperate,Multiple,Invertebrates,Pests,Lepidoptera,Lepidoptera,Abundance,Mean field size,MFS_corrected,Crop_Configurational_het,Configurational_het,Crop_het,0.2702849,46,3 X 3 Km
Redlich et al. (2021),p8,sub2527,Germany,"Würzburg(49°47′N, 9°57′E)",Temperate,Multiple,Invertebrates,Pests,Hemiptera,Aphid (Sitobion avenae),Abundance,Edge Density,ED,Crop_Configurational_het,Configurational_het,Crop_het,-0.1674407,105,1000_m_R
Redlich et al. (2021),p8,sub2528,Germany,"Würzburg(49°47′N, 9°57′E)",Temperate,Multiple,Invertebrates,Pests,Hemiptera,Aphid (Metopolophium dirhodum),Abundance,Edge Density,ED,Crop_Configurational_het,Configurational_het,Crop_het,0.007597146,105,1000_m_R
Redlich et al. (2021),p8,sub2529,Germany,"Würzburg(49°47′N, 9°57′E)",Temperate,Multiple,Invertebrates,Pests,Coleoptera,Cereal leaf beetle,Abundance,Edge Density,ED,Crop_Configurational_het,Configurational_het,Crop_het,-0.2158937,105,1000_m_R
Fischer et al. (2018),p27,sub2894,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Mice,Abundance,Field boundary length,FBL,Crop_Configurational_het,Configurational_het,Crop_het,-0.0388299,54,500_m_R
Fischer et al. (2018),p27,sub2895,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Voles,Abundance,Field boundary length,FBL,Crop_Configurational_het,Configurational_het,Crop_het,0.2244277,54,500_m_R
Fischer et al. (2018),p27,sub2896,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Mice,Abundance,Mean field size,MFS_corrected,Crop_Configurational_het,Configurational_het,Crop_het,-0.09184786,54,500_m_R
Fischer et al. (2018),p27,sub2897,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Voles,Abundance,Mean field size,MFS_corrected,Crop_Configurational_het,Configurational_het,Crop_het,0.1670565,54,500_m_R
Fischer et al. (2018),p27,sub2898,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Mice,Abundance,Field boundary length,FBL,Crop_Configurational_het,Configurational_het,Crop_het,-0.06123903,54,500_m_R
Fischer et al. (2018),p27,sub2899,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Voles,Abundance,Field boundary length,FBL,Crop_Configurational_het,Configurational_het,Crop_het,0.3160937,54,500_m_R
Fischer et al. (2018),p27,sub2900,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Mice,Abundance,Mean field size,MFS_corrected,Crop_Configurational_het,Configurational_het,Crop_het,-0.1592978,54,500_m_R
Fischer et al. (2018),p27,sub2901,Germany,"East Germany (Thuringia, around the city of Mühlhausen, 51°13′N, 10°27′E) and west Germany (Lower Saxony, around the city of Göttingen, 51°32′N, 9°56′E) ",Temperate,Winter wheat,Vertebrates,Pests,Rodentia,Voles,Abundance,Mean field size,MFS_corrected,Crop_Configurational_het,Configurational_het,Crop_het,0.2019998,54,500_m_R
Priyadarshana et al. (2023),p93,sub2902,China,"Nanning, the capital of Guangxi Zhuang Autonomous Region (22◦56′–22◦95′N, 108◦13′–108◦62′E)",Tropical,"Multiple (rice, sugarcane, corn are dominant)",Invertebrates,Pests,Lepidoptera,Butterflies,Abundance,Field boundary length,FBL,Crop_Configurational_het,Configurational_het,Crop_het,0.0402604,156,100_m_R
