Author,Study_ID,Effect_Size_ID,Study_Country,Study_Region,Biome,Study_System,Verts_Inverts_Plants,Verts_Inverts_Plants_Without_Pests,Animals_Plants,Functional_Groups,Orders,Taxa_Category_2,Biodiversity_Category,Heterogeneity_Measure,Heterogeneity_Mesure_Fine,Heterogeneity_Type,Heterogeneity,Heterogeneity_Type_L_C,Pearson_Correlation,Sample_Size,Scale,Crop_Cover_Mean,Article_Tittle 
Kleijn et al. (2015),p72,sub910,Netherlands,Zaltbommel,Temperate,"Apple, pear",Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.03220777,24,1000_m_R,59.75807,Delivery of crop pollination services is an insufficient argument for wild pollinator conservation
Kleijn et al. (2015),p72,sub911,Netherlands,Zaltbommel,Temperate,"Apple, pear",Invertebrates,Invertebrates,Animals,Pollinators,Diptera,Hoverflies,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.02773673,24,1000_m_R,59.75807,Delivery of crop pollination services is an insufficient argument for wild pollinator conservation
Schneider et al. (2014),p73,sub912,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.221139,22,100_m_R,86.84517,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub913,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.08766949,22,100_m_R,86.84517,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub914,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.05218405,22,100_m_R,86.84517,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub915,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2955968,22,250_m_R,87.01246,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub916,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2958683,22,250_m_R,87.01246,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub917,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3272724,22,250_m_R,87.01246,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub918,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3176911,22,500_m_R,86.31429,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub919,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3965508,22,500_m_R,86.31429,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub920,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4652374,22,500_m_R,86.31429,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub921,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3757976,22,1000_m_R,84.0591,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub922,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4773311,22,1000_m_R,84.0591,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub923,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.5293892,22,1000_m_R,84.0591,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub924,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4367032,22,2000_m_R,82.78996,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub925,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.500245,22,2000_m_R,82.78996,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub926,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4821235,22,2000_m_R,82.78996,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub927,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1537185,22,100_m_R,86.84517,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub928,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1502017,22,100_m_R,86.84517,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub929,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2765533,22,100_m_R,86.84517,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub930,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.07126358,22,250_m_R,87.01246,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub931,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1790508,22,250_m_R,87.01246,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub932,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1646677,22,250_m_R,87.01246,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub933,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2692449,22,500_m_R,86.31429,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub934,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2298864,22,500_m_R,86.31429,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub935,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.08035153,22,500_m_R,86.31429,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub936,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3657297,22,1000_m_R,84.0591,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub937,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2328254,22,1000_m_R,84.0591,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub938,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.000374687,22,1000_m_R,84.0591,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub939,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3364661,22,2000_m_R,82.78996,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub940,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1036635,22,2000_m_R,82.78996,Gains to species diversity in organically farmed fields are not propagated at the farm level
Schneider et al. (2014),p73,sub941,Spain,Extremadura,Temperate,Grasslands,Invertebrates,Invertebrates,Animals,Predators,Araneae,Spiders,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.1382021,22,2000_m_R,82.78996,Gains to species diversity in organically farmed fields are not propagated at the farm level
Holzschuh et al. (2012),p74,sub942,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0784948,8,100_m_R,84.99259,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub943,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1417189,8,100_m_R,84.99259,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub944,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2265496,8,100_m_R,84.99259,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub945,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.5995176,8,250_m_R,61.14332,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub946,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.5639093,8,250_m_R,61.14332,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub947,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1942202,8,250_m_R,61.14332,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub948,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3022807,8,500_m_R,44.06347,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub949,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.08532216,8,500_m_R,44.06347,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub950,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3344538,8,500_m_R,44.06347,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub951,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.5883449,8,1000_m_R,39.23753,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub952,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.5883443,8,1000_m_R,39.23753,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Holzschuh et al. (2012),p74,sub953,Germany ,"zenhausen, Northern Hesse, Germany (512002300N, 95102000E)",Temperate,Cherry,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.377044,8,1000_m_R,39.23753,"Landscapes with wild bee habitats enhance pollination, fruit set and yield of sweet cherry"
Balzan et al. (2016),p75,sub954,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.5816476,20,100_m_R,85.09777,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Balzan et al. (2016),p75,sub955,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.651598,20,100_m_R,85.09777,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Balzan et al. (2016),p75,sub956,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.5180975,20,100_m_R,85.09777,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Balzan et al. (2016),p75,sub957,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3889506,20,250_m_R,84.1585,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Balzan et al. (2016),p75,sub958,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4146775,20,250_m_R,84.1585,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Balzan et al. (2016),p75,sub959,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.4969949,20,250_m_R,84.1585,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Balzan et al. (2016),p75,sub960,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2727726,20,500_m_R,83.52824,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Balzan et al. (2016),p75,sub961,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.3239383,20,500_m_R,83.52824,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Balzan et al. (2016),p75,sub962,Italy,Tuscany,Temperate,Tomato,Invertebrates,Invertebrates,Animals,Predators,NA,Insects (Mulitple),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2652359,20,500_m_R,83.52824,Landscape complexity and field margin vegetation diversity enhance natural enemies and reduce herbivory by Lepidoptera pests on tomato crop
Martínez-Núñez et al. (2020),p76,sub963,Spain,Andalusia,Temperate,Olive groves,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.19004904,40,1000_m_R,65.85184,Low intensity management benefits solitary bees in olive groves
Martínez-Núñez et al. (2020),p76,sub964,Spain,Andalusia,Temperate,Olive groves,Invertebrates,Invertebrates,Animals,Pollinators,Hymenoptera,Bees,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.183926513,40,1000_m_R,65.85184,Low intensity management benefits solitary bees in olive groves
Martínez-Núñez et al. (2020),p76,sub965,Spain,Andalusia,Temperate,Olive groves,Vertebrates,Vertebrates,Animals,Predators,Birds,Birds,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.129307164,40,1000_m_R,65.85184,"Direct and indirect effects of agricultural practices, landscape complexity and climate on insectivorous birds, pest abundance and damage in olive groves"
Martínez-Núñez et al. (2020),p76,sub966,Spain,Andalusia,Temperate,Olive groves,Vertebrates,Vertebrates,Animals,Predators,Birds,Birds,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.090604058,40,1000_m_R,65.85184,"Direct and indirect effects of agricultural practices, landscape complexity and climate on insectivorous birds, pest abundance and damage in olive groves"
Martínez-Núñez et al. (2020),p76,sub967,Spain,Andalusia,Temperate,Olive groves,Invertebrates,NA,NA,Pests,Lepidoptera,Pest(Prays oleae),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.271714647,40,1000_m_R,65.85184,"Direct and indirect effects of agricultural practices, landscape complexity and climate on insectivorous birds, pest abundance and damage in olive groves"
Martínez-Núñez et al. (2020),p76,sub968,Spain,Andalusia,Temperate,Olive groves,Invertebrates,NA,NA,Pests,Diptera,Pest(Bactrocera oleae),Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.3167306,40,1000_m_R,65.85184,"Direct and indirect effects of agricultural practices, landscape complexity and climate on insectivorous birds, pest abundance and damage in olive groves"
Martínez-Núñez et al. (2021),p77,sub969,Spain,Andalusia,Temperate,Olive groves,Invertebrates,Invertebrates,Animals,Predators,Hymenoptera,Ants,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.008033012,40,1000_m_R,65.85184,Ant community potential for pest control in olive groves: management and landscape effects
Martínez-Núñez et al. (2021),p77,sub970,Spain,Andalusia,Temperate,Olive groves,Invertebrates,Invertebrates,Animals,Predators,Hymenoptera,Ants,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.019502452,40,1000_m_R,65.85184,Ant community potential for pest control in olive groves: management and landscape effects
Rey et al. (2019),p78,sub971,Spain,Andalusia,Temperate,Olive groves,Plants,Plants,Plants,Primary_procedures,Plants,Herbaceous,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.065133978,40,1000_m_R,65.85184,Landscape-moderated biodiversity effects of ground herb cover in olive groves: Implications for regional biodiversity conservation
Rey et al. (2019),p78,sub972,Spain,Andalusia,Temperate,Olive groves,Plants,Plants,Plants,Primary_procedures,Plants,Herbaceous,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.262499737,40,1000_m_R,65.85184,Landscape-moderated biodiversity effects of ground herb cover in olive groves: Implications for regional biodiversity conservation
Cursach et al. (2020),p79,sub973,Spain,"Mallorca Island (39 ̊37’N, 2 ̊59’E)",Temperate,Mainly herbaceous crops,Plants,Plants,Plants,Primary_procedures,Plants,Herbaceous,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2091334,20,1000_m_R,38.19448,The role of landscape composition and heterogeneity on the taxonomical and functional diversity of Mediterranean plant communities in agricultural landscapes
Cursach et al. (2020),p79,sub974,Spain,"Mallorca Island (39 ̊37’N, 2 ̊59’E)",Temperate,Mainly herbaceous crops,Plants,Plants,Plants,Primary_procedures,Plants,Herbaceous,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,-0.2048343,20,1000_m_R,38.19448,The role of landscape composition and heterogeneity on the taxonomical and functional diversity of Mediterranean plant communities in agricultural landscapes
Cursach et al. (2020),p79,sub975,Spain,"Mallorca Island (39 ̊37’N, 2 ̊59’E)",Temperate,Mainly herbaceous crops,Plants,Plants,Plants,Primary_procedures,Plants,Herbaceous,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.2059156,20,2000_m_R,45.1008,The role of landscape composition and heterogeneity on the taxonomical and functional diversity of Mediterranean plant communities in agricultural landscapes
Cursach et al. (2020),p79,sub976,Spain,"Mallorca Island (39 ̊37’N, 2 ̊59’E)",Temperate,Mainly herbaceous crops,Plants,Plants,Plants,Primary_procedures,Plants,Herbaceous,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.07941508,20,2000_m_R,45.1008,The role of landscape composition and heterogeneity on the taxonomical and functional diversity of Mediterranean plant communities in agricultural landscapes
Van Halder et al. (2017),p80,sub977,France,"Burgundy, Aquitaine and Gascony",Temperate,Grasslands,Plants,Plants,Plants,Primary_procedures,Plants,Host-plants for Butterfly,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.22,144,5km × 5km,17.4,Trait-driven responses of grassland butterflies to habitat quality and matrix composition in mosaic agricultural landscapes
Barbaro et al. (2020),p81,sub978,"France, Spain, Italy","Bordeaux, Languedoc, Roussillon, Gaillac, Limoux, Costières, Bourgogne, Loire, Ile de Ré, Catalunya, Trentino, and Lombardy",Temperate,Vineyards,Vertebrates,Vertebrates,Animals,Predators,Birds,Birds,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1610592,234,100_m_R,60.18317,Organic management and landscape heterogeneity combine to sustain multifunctional bird communities in European vineyards
Barbaro et al. (2020),p81,sub979,"France, Spain, Italy","Bordeaux, Languedoc, Roussillon, Gaillac, Limoux, Costières, Bourgogne, Loire, Ile de Ré, Catalunya, Trentino, and Lombardy",Temperate,Vineyards,Vertebrates,Vertebrates,Animals,Predators,Birds,Birds,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.0852891,234,100_m_R,60.18317,Organic management and landscape heterogeneity combine to sustain multifunctional bird communities in European vineyards
Barbaro et al. (2020),p81,sub980,"France, Spain, Italy","Bordeaux, Languedoc, Roussillon, Gaillac, Limoux, Costières, Bourgogne, Loire, Ile de Ré, Catalunya, Trentino, and Lombardy",Temperate,Vineyards,Vertebrates,Vertebrates,Animals,Predators,Birds,Birds,Abundance,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1847357,234,100_m_R,60.18317,Organic management and landscape heterogeneity combine to sustain multifunctional bird communities in European vineyards
Barbaro et al. (2020),p81,sub981,"France, Spain, Italy","Bordeaux, Languedoc, Roussillon, Gaillac, Limoux, Costières, Bourgogne, Loire, Ile de Ré, Catalunya, Trentino, and Lombardy",Temperate,Vineyards,Vertebrates,Vertebrates,Animals,Predators,Birds,Birds,SWDiversity,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1786473,100,100_m_R,64.99533,Organic management and landscape heterogeneity combine to sustain multifunctional bird communities in European vineyards
Barbaro et al. (2020),p81,sub982,"France, Spain, Italy","Bordeaux, Languedoc, Roussillon, Gaillac, Limoux, Costières, Bourgogne, Loire, Ile de Ré, Catalunya, Trentino, and Lombardy",Temperate,Vineyards,Vertebrates,Vertebrates,Animals,Predators,Birds,Birds,Richness,SHDI,Shannon’s Diversity Index,Landscape_compositional_het,Compositional_het,Landscape_het,0.1885886,100,100_m_R,64.99533,Organic management and landscape heterogeneity combine to sustain multifunctional bird communities in European vineyards
